
mixed	O
economic	O
news	O
concerning	O
consumer	O
spending	O
and	O
jobless	O
claims	O
.	O
The	O
Dow	ORG
Jones	ORG
Industrial	ORG
Average	ORG
gained	O
nearly	O
190	O
points	O
to	O
close	O
at	O
13010	O
.	O
The	O
surge	O
in	O
the	O
stock	O
markets	O
comes	O
as	O
investors	O
await	O
a	O
key	O
report	O
.	O
VOA	ORG
's	O
Robert	PER
Raffaele	PER
Blabla	PER
has	O
more	O
.	O

The	O
U.S.	O
military	O
in	O
Iraq	COU
says	O
a	O
roadside	O
bomb	O
has	O
killed	O
one	O
of	O
its	O
troops	O
south	O
of	O
the	O
capital	O
,	O
Baghdad	CIT
.	O
The	O
military	O
says	O
the	O
soldier	O
was	O
killed	O
Thursday	O
when	O
his	O
vehicle	O
hit	O
the	O
bomb	O
during	O
a	O
combat	O
patrol	O
near	O
Iskandariyah	CIT
.	O
The	O
United	COU
States	COU
invaded	O
Iraq	COU
in	O
2003	O
,	O
citing	O
concerns	O
about	O
alleged	O
weapons	O
of	O
mass	O
destruction	O
programs	O
.	O
No	O
such	O
weapons	O
were	O
found	O
.	O

Afghan	ORG
officials	O
say	O
two	O
separate	O
accidental	O
explosions	O
killed	O
four	O
children	O
and	O
three	O
police	O
officers	O
in	O
the	O
capital	O
,	O
Kabul	CIT
,	O
Monday	O
.	O
In	O
the	O
first	O
incident	O
,	O
authorities	O
said	O
a	O
group	O
of	O
children	O
was	O
playing	O
with	O
an	O
old	O
artillery	O
shell	O
when	O
it	O
exploded	O
.	O
The	O
blast	O
killed	O
four	O
of	O
the	O
children	O
.	O
Afghanistan	COU
remains	O
littered	O
with	O
unexploded	O
munitions	O
and	O
landmines	O
after	O
decades	O
of	O
war	O
.	O
The	O
second	O
blast	O
happened	O
as	O
a	O
group	O
of	O
police	O
officers	O
was	O
preparing	O
for	O
a	O
mission	O
.	O
A	O
spokesman	O
for	O
the	O
Interior	ORG
Ministry	ORG
said	O
one	O
of	O
the	O
officers	O
accidentally	O
dropped	O
a	O
rocket-propelled	O
grenade	O
.	O
The	O
explosion	O
killed	O
three	O
officers	O
.	O

Crude	O
oil	O
prices	O
rose	O
above	O
$	O
96	O
a	O
barrel	O
in	O
Tuesday	O
's	O
trading	O
.	O
That	O
is	O
a	O
rise	O
of	O
more	O
than	O
$	O
2	O
.	O
Oil	O
traders	O
say	O
the	O
rising	O
price	O
of	O
oil	O
is	O
partly	O
the	O
result	O
of	O
the	O
falling	O
value	O
of	O
the	O
U.S.	COU
dollar	O
.	O
The	O
greenback	O
hit	O
a	O
record	O
low	O
compared	O
to	O
the	O
euro	O
Tuesday	O
.	O
Oil	O
has	O
traditionally	O
been	O
priced	O
in	O
dollars	O
,	O
so	O
when	O
the	O
value	O
of	O
the	O
dollar	O
falls	O
,	O
it	O
puts	O
upward	O
pressure	O
on	O
the	O
price	O
of	O
